ID,Title,Original title,Popularity,Overview,Keywords,Genres,Collection,Original Language,Spoken Languages,Production Companies,Production Countries,Director,Release date,Runtime,Status,Tagline,Homepage,imdb_id,Budget,Revenue,Release year
1636,Body of Evidence,Body of Evidence,4.655727,"Sizzingly sexy Madonna leads a star-filled cast in this erotic thriller as a woman accused of killing a wealthy, elderly man through her insatiable sexual prowess.","sex, infidelity, eroticism, nudity, seduction, murder, drug, neo-noir",Drama,Missing,en,English,Metro-Goldwyn-Mayer (MGM),"Germany, United States of America",Uli Edel,1/15/93,101,Released,"An act of love, or an act of murder?",http://www.mgm.com/#/our-titles/226/Body-Of-Evidence,tt0106453,30000000,13273595,1993
1637,Song for Marion,Song for Marion,4.11326,"A feel-good, heart-warming story about how music can inspire you. Song for Marion stars Terence Stamp as Arthur, a grumpy pensioner who can't understand why his wife Marion (Vanessa Redgrave) would want to embarrass herself singing silly songs with her unconventional local choir. But choir director Elizabeth (Gemma Arterton) sees something special in the reluctant Arthur and refuses to give up on him. As she coaxes him out of his shell, Arthur realizes that it is never too late to change.","musical, cancer",Music,Missing,en,English,"Egoli Tossell Film AG, Steel Mill Pictures, Coolmore Productions",United Kingdom,Paul Andrew Williams,9/15/12,93,Released,Open your heart. Find your voice.,Missing,tt1047011,0,1697294,2012
1638,Idle Hands,Idle Hands,6.851628,"Anton is a cheerful but exceedingly non-ambitious 17-year-old stoner who lives to stay buzzed, watch TV, and moon over Molly, the beautiful girl who lives next door. However, it turns out that the old clich√© about idle hands being the devil's playground has a kernel of truth after all.","teenager, attic, knitting needle, noise complaint, crawling hand, angel costume, trowel, bass guitarist, priestess",Thriller,Missing,en,English,"Columbia Pictures Corporation, Team Todd, Licht/Mueller Film Corporation",United States of America,Rodman Flender,4/30/99,92,Released,The touching story of a boy and his right hand.,Missing,tt0138510,25000000,4152230,1999
1639,L: Change the World,L: change the WorLd,8.271179,"""The human whose name is written in the Death Note shall die."" After making the hardest decision ever, another serious case confronts L. There are only 23 days left and without his best partner Watari (Shunji Fujimura), L has to solve the case all by himself for the very first time.",sequel,Fantasy,Death Note Collection,ja,日本語,Warner Bros.,Japan,Hideo Nakata,1/31/08,129,Released,The final death note showdown!,http://wwws.warnerbros.co.jp/L-movie,tt0912597,0,30231200,2008
1640,K-9,K-9,5.772293,"The extravagant cop Michael Dooley needs some help to fight a drug dealer who has tried to kill him. A ""friend"" gives him a dog named Jerry Lee (Officer Lewis), who has been trained to smell drugs. With his help, Dooley sets out to put his enemy behind the bars, but Jerry Lee has a personality of his own and works only when he wants to. On the other hand, the dog is quite good at destroying Dooley's car, house and sex-life...","helicopter, police operation, shadowing, police headquarter, drug, criminal, dog, german shepherd, policeman, stakeout, police dog",Action,K-9 Collection,en,English,"Universal Pictures, Gordon Company",United States of America,Rod Daniel,4/28/89,101,Released,Meet the two toughest cops in town.  One's just a little smarter than the other!,Missing,tt0097637,17000000,78247647,1989
1641,Bhaag Milkha Bhaag,Bhaag Milkha Bhaag,4.342418,"The true story of the ""Flying Sikh"" world champion runner and Olympian Milkha Singh who overcame the massacre of his family, civil war during the India-Pakistan partition, and homelessness to become one of India's most iconic athletes.","running, fight, sikh, knife, biography, sister, past, love, jail, slaughter, family, sports history, action, athelete",History,Missing,hi,हिन्दी,Viacom 18 Motion Pictures,India,Rakeysh Omprakash Mehra,7/12/13,186,Released,Now you will see his Real Story.,Missing,tt2356180,4600000,25000000,2013
1642,From Beyond,From Beyond,7.522655,"A group of scientists have developed the Resonator, a machine which allows whoever is within range to see beyond normal perceptible reality. But when the experiment succeeds, they are immediately attacked by terrible life forms.","human experimentation, h.p. lovecraft, parallel world",Horror,Missing,en,English,"Empire Pictures, Taryn Prov",United States of America,Stuart Gordon,6/5/86,86,Released,Humans are such easy prey.,Missing,tt0091083,4500000,1261000,1986
1643,Tomorrow Never Dies,Tomorrow Never Dies,17.159576,A deranged media mogul is staging international incidents to pit the world's superpowers against each other. Now 007 must take on this evil mastermind in an adrenaline-charged battle to end his reign of terror and prevent global pandemonium.,"london england, england, spy, china, news broadcast, intelligence, television, missile, manipulation of the media, secret intelligence service, special car, tv station, media tycoon, navy, motorcycle, secret service, hamburg germany",Adventure,James Bond Collection,en,"Deutsch, English, Dansk, 普通话, 广州话 / 廣州話",Eon Productions,"United Kingdom, United States of America",Roger Spottiswoode,12/11/97,119,Released,Yesterday is a memory. Today is history. Tomorrow is in the hands of one man.,http://www.mgm.com/view/movie/2029/Tomorrow-Never-Dies/,tt0120347,110000000,333011068,1997
1644,Maze Runner: The Scorch Trials,Maze Runner: The Scorch Trials,41.225769,"Thomas and his fellow Gladers face their greatest challenge yet: searching for clues about the mysterious and powerful organization known as WCKD. Their journey takes them to the Scorch, a desolate landscape filled with unimaginable obstacles. Teaming up with resistance fighters, the Gladers take on WCKD‚Äôs vastly superior forces and uncover its shocking plans for them all.","based on novel, resistance, maze, post-apocalyptic, dystopia, infection, on the run, escape, zombie, storm, disease, desert, sewer, antidote, corporation, virus, runner, city ruin, immunity",Action,The Maze Runner Collection,en,English,"Gotham Group, Temple Hill Entertainment, TSG Entertainment",United States of America,Wes Ball,9/9/15,132,Released,The Maze Was Just the Beginning.,http://mazerunnermovies.com,tt4046784,61000000,311256926,2015
1645,Courageous,Courageous,7.666558,"As law enforcement officers, Adam Mitchell, Nathan Hayes, and their partners are confident and focused. They willingly stand up to the worst the streets have to offer. Yet at the end of the day, they face a challenge that none of them are truly prepared to tackle: fatherhood. They know that God desires to turn the hearts of fathers to their children, but their children are beginning to drift further and further away from them. When tragedy hits home, these men are left wrestling with their hopes, their fears, their faith, and their fathering. Can a new found urgency help these dads draw closer to God ... and to their children? COURAGEOUS is the fourth release of Sherwood Pictures, the movie making ministry of Sherwood Church in Albany, Georgia.","father, faith",Drama,Missing,en,English,"TriStar Pictures, Provident Films, Affirm Films, Sherwood Pictures, Alabama Production Group",United States of America,Alex Kendrick,9/30/11,129,Released,Honor Begins at Home.,http://www.courageousthemovie.com,tt1630036,1000000,34522221,2011
1646,The Portrait of a Lady,The Portrait of a Lady,4.13905,"Ms. Isabel Archer isn't afraid to challenge societal norms. Impressed by her free spirit, her kindhearted cousin writes her into his fatally ill father's will. Suddenly rich and independent, Isabelle ventures into the world, along the way befriending a cynical intellectual and romancing an art enthusiast. However, the advantage of her affluence is called into question when she realizes the extent to which her money colors her relationships.","europe, friendship, intellectual, money, american, girl, art, rich, woman director",Drama,Missing,en,"Italiano, English","Propaganda Films, Polygram Filmed Entertainment","United Kingdom, United States of America",Jane Campion,10/18/96,144,Released,Based on the Novel by Henry James.,Missing,tt0117364,0,3692836,1996
1647,Robin Hood: Men in Tights,Robin Hood: Men in Tights,17.136672,"Robin Hood comes home after fighting in the Crusades to learn that the noble King Richard is in exile and that the despotic King John now rules England, with the help of the Sheriff of Rottingham. Robin Hood assembles a band of fellow patriots to do battle with King John and the Sheriff.","witch, tree house, robin hood, forest, taxes, thief, parody, arrow, spoof, tournament",Comedy,Missing,en,English,"Gaumont, Twentieth Century Fox Film Corporation, Brooksfilms","France, United States of America",Mel Brooks,7/28/93,104,Released,"The legend had it coming... Find out where Robin Hood put his Little John, what made Will Scarlet, and what did Friar Tuck into his tights that Maid Marion all of a quiver?",Missing,tt0107977,20000000,35739755,1993
1648,Drive,Drive,15.388875,A Hollywood stunt performer who moonlights as a wheelman for criminals discovers that a contract has been put on him after a heist gone wrong.,"stuntman, blood splatter, independent film, police chase, extreme violence, violence, car chase, bullet, head stomp, getaway, crime lord, existentialism, silent protagonist, great soundtrack",Drama,Missing,en,English,"Bold Films, Marc Platt Productions, Odd Lot Entertainment, FilmDistrict, Motel Movies, Newbridge Film Capital",United States of America,Nicolas Winding Refn,8/6/11,100,Released,There are no clean getaways.,http://www.sonypictures.com/movies/drive/,tt0780504,15000000,78054825,2011
1649,Squeeze,Squeeze,0.321515,"Ty, Hector, and Bao are close friends in a tough section of Boston, where they're called ""the PG-13 crew."" They're 14, decent kids with few skills who've bailed out of school. A small gang of older tough guys, led by Marcus and Tommy, menace them, and when the PG-13s fight back and rob one of the gang, Marcus and Tommy vow to kill them. They seek protection from Derick, a drug dealer, who agrees to help if they'll sell drugs. Meanwhile, Ty is recruited to work at a community center by J.J., its quiet leader. Ty and his friends are in a squeeze: surrounded by violence, drugs, and no opportunities, is there any way out?",independent film,Crime,Missing,en,,,,Robert Patton-Spruill,6/6/97,95,Released,Only the strong survive these streets.,Missing,tt0117724,500000,10300,1997
